location	supragingival_plaque	supragingival_plaque	supragingival_plaque	supragingival_plaque	tongue_dorsum	tongue_dorsum	tongue_dorsum	tongue_dorsum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	1.09018	14.815879999999998	63.90668	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena	0.81024	0	0	0.82478	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB10485|s__GGB10485_SGB49305|t__SGB49305_group	68.06633000000001	9.20606	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris|t__SGB15878	10.91205	4.09365	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis|t__SGB8047_group	5.98551	7.761539999999999	11.329889999999999	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii|t__SGB17007	3.6641	23.48078	9.66976	45.48265	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis|t__SGB8130	2.98374	13.47826	7.53282	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum|t__SGB17008	2.83304	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria|t__SGB16987	2.4988599999999996	0	0	2.96643	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_bonacorsii|t__SGB9422	1.15594	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__SGB9663_group	1.09018	14.815879999999998	63.90668	2.0541400000000003	0	8.932789999999999	29.851229999999997	3.3243300000000002
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena|t__SGB2502	0.81024	0	0	0.82478	0	0	0	0
k__Bacteria|p__Fusobacteria	0	3.19975	4.01104	11.78032	10.04743	4.44939	0	10.55735
k__Bacteria|p__Firmicutes|c__Negativicutes	0	4.67585	0.8753700000000001	10.88317	25.42628	30.57382	17.615560000000002	21.57785
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	3.19975	4.01104	11.78032	10.04743	4.44939	0	10.55735
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0	4.67585	0.8753700000000001	4.0046800000000005	25.42628	30.57382	17.615560000000002	21.57785
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	3.19975	4.01104	11.78032	10.04743	4.44939	0	10.55735
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0	4.67585	0.8753700000000001	4.0046800000000005	25.42628	30.57382	17.615560000000002	21.57785
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	3.19975	4.01104	5.27674	3.76318	4.44939	0	6.43578
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	10.795630000000001	0	1.0875700000000001	21.8288	15.12829	0	6.23021
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0	4.67585	0.8753700000000001	4.0046800000000005	25.42628	30.57382	17.615560000000002	21.57785
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	3.19975	4.01104	5.27674	3.76318	4.44939	0	6.43578
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca	0	10.795630000000001	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0	8.49261	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0	4.67585	0.8753700000000001	4.0046800000000005	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	0	3.19975	4.01104	5.27674	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca|t__SGB9467_group	0	10.795630000000001	0	0	0	0	0	0
